字	发音	声调	注释
灂	ɦia	8	
弋	ɦiai	8	
亦	ɦiai	8	
佚	ɦiai	8	
译	ɦiai	8	
轶	ɦiai	8	
弈	ɦiai	8	
奕	ɦiai	8	
逸	ɦiai	8	
翊	ɦiai	8	
翌	ɦiai	8	
翼	ɦiai	8	
刑	ɦiaŋ	2	
邢	ɦiaŋ	2	
形	ɦiaŋ	2	
型	ɦiaŋ	2	
淫	ɦiaŋ	2	
寅	ɦiaŋ	2	
霪	ɦiaŋ	2	
引	ɦiaŋ	4	
蚓	ɦiaŋ	4	
螾	ɦiaŋ	2	
胤	ɦiaŋ	6	
荧	ɦiaŋ	2	
盈	ɦiaŋ	2	
莹	ɦiaŋ	2	
萤	ɦiaŋ	2	
萦	ɦiaŋ	2	
蝇	ɦiaŋ	2	
嬴	ɦiaŋ	2	
赢	ɦiaŋ	2	
郢	ɦiaŋ	4	
颍	ɦiaŋ	4	
颖	ɦiaŋ	4	
孕	ɦiaŋ	6	
酋	ɦiau	2	
忧	ɦiau	2	
尤	ɦiau	2	
由	ɦiau	2	
邮	ɦiau	2	
油	ɦiau	2	
疣	ɦiau	2	
铀	ɦiau	2	
蚰	ɦiau	2	~蠓：青蟹
鱿	ɦiau	2	
游	ɦiau	2	
猷	ɦiau	2	
蝣	ɦiau	2	
友	ɦiau	4	
有	ɦiau	4	
酉	ɦiau	4	
莠	ɦiau	4	
铕	ɦiau	4	
右	ɦiau	4	
佑	ɦiau	6	
侑	ɦiau	6	
囿	ɦiau	6	
宥	ɦiau	6	
诱	ɦiau	4	
釉	ɦiau	6	
鼬	ɦiau	6	
婵	ɦie	2	
禅	ɦie	2	
蝉	ɦie	2	
蟾	ɦie	2	
单	ɦie	2	姓氏
贱	ɦie	6	
渐	ɦie	2	
践	ɦie	4	
捷	ɦie	8	
睫	ɦie	8	
截	ɦie	8	
铅	ɦie	2	
前	ɦie	2	
潜	ɦie	2	
然	ɦie	2	
燃	ɦie	2	
冉	ɦie	4	
苒	ɦie	4	
善	ɦie	6	
缮	ɦie	4	
擅	ɦie	6	
膳	ɦie	4	
赡	ɦie	6	
鳝	ɦie	4	
畬	ɦie	2	
佘	ɦie	2	
贤	ɦie	2	
弦	ɦie	2	
涎	ɦie	2	
舷	ɦie	2	
蚬	ɦie	4	
现	ɦie	6	
限	ɦie	4	
陷	ɦie	6	
羡	ɦie	6	
蝎	ɦie	7	
协	ɦie	8	
邪	ɦie	2	
谐	ɦie	2	
携	ɦie	2	
腌	ɦie	1	
延	ɦie	2	
言	ɦie	2	
炎	ɦie	2	
沿	ɦie	2	
盐	ɦie	2	
阎	ɦie	2	
筵	ɦie	2	
檐	ɦie	2	
衍	ɦie	4	
琰	ɦie	4	
砚	ɦie	6	
焰	ɦie	6	
也	ɦie	7	
成	ɦieŋ	2	
丞	ɦieŋ	2	
呈	ɦieŋ	2	
诚	ɦieŋ	2	
承	ɦieŋ	2	
城	ɦieŋ	2	
乘	ɦieŋ	2	
乘	ɦieŋ	6	
程	ɦieŋ	2	
情	ɦieŋ	2	
晴	ɦieŋ	2	
绳	ɦieŋ	2	
盛	ɦieŋ	6	
就	ɦiəu	4	
鹫	ɦiəu	8	
泅	ɦiəu	2	
遒	ɦiəu	2	
柔	ɦiəu	2	
揉	ɦiəu	2	
糅	ɦiəu	2	
蹂	ɦiəu	2	
鞣	ɦiəu	2	
辱	ɦiəu	8	
褥	ɦiəu	8	
寿	ɦiəu	4	
受	ɦiəu	4	
授	ɦiəu	4	
孰	ɦiəu	7	
赎	ɦiəu	8	
塾	ɦiəu	7	
熟	ɦiəu	7	
蜀	ɦiəu	8	
叙	ɦiəu	4	
尝	ɦiɛ	2	
常	ɦiɛ	2	
偿	ɦiɛ	6	
徜	ɦiɛ	2	
广	ɦiɛ	3	
戕	ɦiɛ	2	
墙	ɦiɛ	2	
蔷	ɦiɛ	2	
嫱	ɦiɛ	2	
瓤	ɦiɛ	4	
壤	ɦiɛ	4	
上	ɦiɛ	4	
上	ɦiɛ	6	
尚	ɦiɛ	6	
裳	ɦiɛ	2	
相	ɦiɛ	4	象棋子名
祥	ɦiɛ	2	
翔	ɦiɛ	2	
象	ɦiɛ	4	
橡	ɦiɛ	4	
邂	ɦiɛ	6	
懈	ɦiɛ	8	
扬	ɦiɛ	2	
羊	ɦiɛ	2	
阳	ɦiɛ	2	
杨	ɦiɛ	2	
炀	ɦiɛ	2	
佯	ɦiɛ	2	
疡	ɦiɛ	2	
垟	ɦiɛ	2	
徉	ɦiɛ	2	
洋	ɦiɛ	2	~□fai31：马铃薯
仰	ɦiɛ	4	~卧起坐
养	ɦiɛ	6	
痒	ɦiɛ	4	
样	ɦiɛ	6	
恙	ɦiɛ	6	
崇	ɦioŋ	2	
纯	ɦioŋ	2	
淳	ɦioŋ	2	
鹑	ɦioŋ	2	
醇	ɦioŋ	2	
戎	ɦioŋ	2	
茸	ɦioŋ	2	
荣	ɦioŋ	2	
绒	ɦioŋ	2	
蓉	ɦioŋ	2	
溶	ɦioŋ	2	
榕	ɦioŋ	2	
融	ɦioŋ	2	
闰	ɦioŋ	6	
润	ɦioŋ	6	
吮	ɦioŋ	4	
顺	ɦioŋ	6	
雄	ɦioŋ	2	
熊	ɦioŋ	2	
旬	ɦioŋ	2	
巡	ɦioŋ	2	
循	ɦioŋ	2	
驯	ɦioŋ	2	
徇	ɦioŋ	2	
殉	ɦioŋ	2	
庸	ɦioŋ	2	
墉	ɦioŋ	2	
慵	ɦioŋ	2	
镛	ɦioŋ	2	
鳙	ɦioŋ	2	
永	ɦioŋ	4	
咏	ɦioŋ	4	
泳	ɦioŋ	4	
晕	ɦioŋ	6	
云	ɦioŋ	2	
匀	ɦioŋ	2	
芸	ɦioŋ	2	
陨	ɦioŋ	4	
孕	ɦioŋ	6	
运	ɦioŋ	6	
韵	ɦioŋ	6	
熨	ɦioŋ	5	
□	ho	3	~落
花	ho	1	
化	ho	5	
豁	ho	1	
豁	ho	7	
霍	ho	7	
藿	ho	7	
虾	ho	1	
蚶	hø	1	
酣	hø	1	
憨	hø	1	~屄：糊涂蛋
鼾	hø	1	
罕	hø	3	
汉	hø	1	
喝	hø	7	
惚	hø	7	
笏	hø	7	
欢	hø	1	
挥	hø	1	
晖	hø	1	
辉	hø	1	
徽	hø	1	
讳	hø	5	
昏	hø	1	黄~：晚上，可泛指整个下半日
荤	hø	1	
婚	hø	1	
纬	hø	5	
烜	hø	3	
河	ɦo	2	
荷	ɦo	2	
荷	ɦo	6	
菏	ɦo	2	
涸	ɦo	8	
贺	ɦo	6	
鹤	ɦo	8	
哗	ɦo	2	
华	ɦo	2	~夏
华	ɦo	6	~山
骅	ɦo	2	
猾	ɦo	8	
滑	ɦo	8	
划	ɦo	2	
画	ɦo	6	
话	ɦo	6	
桦	ɦo	6	
嬅	ɦo	6	
活	ɦo	8	
或	ɦo	6	
获	ɦo	8	
祸	ɦo	4	
厦	ɦo	4	地名：~门
厦	ɦo	6	
虾	ɦo	2	
遐	ɦo	2	
瑕	ɦo	2	
暇	ɦo	2	
霞	ɦo	2	
下	ɦo	4	
夏	ɦo	4	
学	ɦo	8	
岸	ɦø	6	
害	ɦø	6	
韩	ɦø	2	
寒	ɦø	2	
汗	ɦø	6	
旱	ɦø	4	
捍	ɦø	6	
悍	ɦø	6	
颔	ɦø	2	~首
撼	ɦø	3	
劾	ɦø	8	
盍	ɦø	8	
吽	hoŋ	1	
轰	hoŋ	1	~炸
哄	hoŋ	3	
烘	hoŋ	1	
薨	hoŋ	1	
蕻	hoŋ	1	
嗅	hoŋ	5	白读
□	ɦoŋ	6	发霉变质
冯	ɦoŋ	2	
弘	ɦoŋ	2	
红	ɦoŋ	2	
红	ɦoŋ	2	
宏	ɦoŋ	2	
纮	ɦoŋ	2	
泓	ɦoŋ	2	
洪	ɦoŋ	2	
鸿	ɦoŋ	2	
垂	ɦy	2	
夫	ɦy	4	
伏	ɦy	8	
凫	ɦy	2	
扶	ɦy	2	
芙	ɦy	2	~蓉
芙	ɦy	6	地名：~蓉
服	ɦy	2	
茯	ɦy	8	
符	ɦy	2	
匐	ɦy	8	
袱	ɦy	8	
抚	ɦy	3	
腐	ɦy	4	
父	ɦy	3	
负	ɦy	6	
妇	ɦy	4	
附	ɦy	6	
阜	ɦy	4	
驸	ɦy	6	
复	ɦy	8	
傅	ɦy	6	白读 师~
含	ɦy	2	
莟	ɦy	2	
禾	ɦy	2	
合	ɦy	7	
何	ɦy	2	文读
和	ɦy	2	
𬌗	ɦy	2	牙齿开合正常
盒	ɦy	8	
阖	ɦy	8	
乎	ɦy	2	
乎	ɦy	2	
互	ɦy	6	
瓠	ɦy	2	
患	ɦy	6	
卉	ɦy	6	
汇	ɦy	6	
惠	ɦy	6	
慧	ɦy	6	文读
惑	ɦy	8	四十而不~
聚	ɦy	4	
如	ɦy	2	
茹	ɦy	2	
儒	ɦy	2	
孺	ɦy	2	
瑞	ɦy	6	
姝	ɦy	2	
殊	ɦy	2	
署	ɦy	4	
薯	ɦy	2	
曙	ɦy	4	
术	ɦy	8	
述	ɦy	8	
树	ɦy	8	惯用音
竖	ɦy	2	
墅	ɦy	4	
隋	ɦy	2	
随	ɦy	2	
遂	ɦy	2	
穗	ɦy	6	
危	ɦy	2	
韦	ɦy	2	
违	ɦy	2	
围	ɦy	2	
帏	ɦy	2	
闱	ɦy	2	
帷	ɦy	2	
维	ɦy	2	
潍	ɦy	2	
伟	ɦy	4	
伪	ɦy	6	
苇	ɦy	2	
玮	ɦy	4	
卫	ɦy	6	
为	ɦy	6	
位	ɦy	6	
胃	ɦy	6	
谓	ɦy	6	
渭	ɦy	6	
侮	ɦy	4	
舞	ɦy	4	
务	ɦy	6	
骛	ɦy	8	
吁	ɦy	6	语气词，嘲讽意味
徐	ɦy	2	
序	ɦy	4	
绪	ɦy	4	
玄	ɦy	2	
遗	ɦy	2	
于	ɦy	2	
余	ɦy	2	
妤	ɦy	2	
臾	ɦy	2	
俞	ɦy	2	
谀	ɦy	2	
萸	ɦy	2	
逾	ɦy	2	
愉	ɦy	2	
瑜	ɦy	2	
榆	ɦy	2	
觎	ɦy	2	
与	ɦy	4	
予	ɦy	2	
屿	ɦy	4	
宇	ɦy	4	
羽	ɦy	4	
雨	ɦy	4	
雨	ɦy	6	
禹	ɦy	4	
庾	ɦy	4	
瑀	ɦy	4	
芋	ɦy	6	
聿	ɦy	6	
预	ɦy	6	
谕	ɦy	6	
喻	ɦy	6	
裕	ɦy	6	
愈	ɦy	4	
誉	ɦy	5	
缘	ɦy	2	
床	ɦyɔ	2	
从	ɦyɔ	2	
熔	ɦyɔ	2	
硕	ɦyɔ	8	
松	ɦyɔ	2	白读 ~树
讼	ɦyɔ	6	
诵	ɦyɔ	6	
颂	ɦyɔ	6	
王	ɦyɔ	2	
往	ɦyɔ	4	
勇	ɦyɔ	4	
蛹	ɦyɔ	4	
用	ɦyɔ	6	
状	ɦyɔ	6	
楦	hye	1	
船	ɦye	2	
莞	ɦye	4	
桓	ɦye	2	
缓	ɦye	4	
宦	ɦye	6	
浑	ɦye	2	
镌	ɦye	2	
绝	ɦye	2	
权	ɦye	2	
全	ɦye	2	
泉	ɦye	2	
痊	ɦye	2	
券	ɦye	6	拱~
丸	ɦye	2	
完	ɦye	2	
县	ɦye	6	
悬	ɦye	2	
旋	ɦye	2	
嫙	ɦye	2	
璇	ɦye	6	
泫	ɦye	4	
炫	ɦye	6	
眩	ɦye	6	
园	ɦye	2	
员	ɦye	2	
袁	ɦye	2	
圆	ɦye	2	
援	ɦye	2	
猿	ɦye	2	
远	ɦye	4	
院	ɦye	6	
媛	ɦye	2	
曰	ɦye	8	
饶	ɦyə	2	
娆	ɦyə	2	
桡	ɦyə	2	
扰	ɦyə	4	
绕	ɦyə	6	
惹	ɦyə	4	
邵	ɦyə	6	
劭	ɦyə	6	
绍	ɦyə	6	
姚	ɦyə	2	
窑	ɦyə	2	
谣	ɦyə	2	
徭	ɦyə	2	
遥	ɦyə	2	
媱	ɦyə	2	
瑶	ɦyə	2	
榣	ɦyə	2	
繇	ɦyə	2	
繇	ɦyə	2	
䁘	ɦyə	4	
耀	ɦyə	6	
召	ɦyə	6	
局	ɦyo	8	
属	ɦyo	8	
俗	ɦyo	8	
浴	ɦyo	8	
欲	ɦyo	8	
浞	ɦyo	8	
袆	i	1	
掎	i	3	
野	i	3	
晔	i	7	
烨	i	7	
一	i	7	白读 ~个；~色：一样
伊	i	1	
衣	i	1	
医	i	1	
依	i	1	
铱	i	1	
猗	i	1	
漪	i	1	
噫	i	1	
倚	i	3	
椅	i	3	
旖	i	3	
踦	i	1	
亿	i	5	
忆	i	5	
抑	i	7	~制
裔	i	5	
意	i	5	
熠	i	5	
薏	i	5	
翳	i	5	
鷖	i	1	
勺	ia	7	
约	ia	7	
一	iai	7	文读 ~二三；长天~色
揖	iai	7	
壹	iai	7	
乙	iai	7	
钇	iai	7	
抑	iai	7	
邑	iai	7	
挹	iai	7	
益	iai	7	
浥	iai	7	
悒	iai	7	
溢	iai	7	
镒	iai	7	
因	iaŋ	1	
阴	iaŋ	1	
茵	iaŋ	1	
荫	iaŋ	5	~雨：躲雨
音	iaŋ	1	
姻	iaŋ	1	
殷	iaŋ	1	
饮	iaŋ	3	
隐	iaŋ	3	
印	iaŋ	5	
应	iaŋ	1	
应	iaŋ	5	
英	iaŋ	1	
莺	iaŋ	1	
婴	iaŋ	1	
瑛	iaŋ	1	
罂	iaŋ	1	
缨	iaŋ	1	
璎	iaŋ	1	
樱	iaŋ	1	
膺	iaŋ	1	
鹰	iaŋ	1	
影	iaŋ	3	
映	iaŋ	5	
优	iau	1	
攸	iau	1	
呦	iau	1	
幽	iau	1	
悠	iau	1	
黝	iau	3	
幼	iau	5	
嗟	ie	1	
蔫	ie	1	
胭	ie	1	
烟	ie	1	
阉	ie	1	
淹	ie	1	
淹	ie	5	
湮	ie	1	
嫣	ie	1	
奄	ie	3	
掩	ie	3	
咽	ie	1	~喉
咽	ie	5	哽~
堰	ie	3	
燕	ie	1	
燕	ie	5	
耶	ie	1	~酥
郁	iəu	7	
育	iəu	7	
昱	iəu	7	
彧	iəu	7	
煜	iəu	7	
毓	iəu	7	
央	iɛ	1	
殃	iɛ	1	
鸯	iɛ	1	
秧	iɛ	1	
养	iɛ	3	
怏	iɛ	5	
殷	iɛ	1	
尹	ioŋ	3	
雍	ioŋ	1	
㙲	ioŋ	1	浮尘
晕	ioŋ	1	
允	ioŋ	3	
蕴	ioŋ	2	
□	ka	5	~钿：价格
革	ka	7	
格	ka	7	
隔	ka	7	
骼	ka	7	
刮	ka	7	
挂	ka	5	白读
乖	ka	1	
拐	ka	3	
柺	ka	3	
怪	ka	5	
关	ka	1	
惯	ka	5	
獾	ka	1	
夹	ka	7	
荚	ka	7	
戛	ka	7	
颊	ka	7	
甲	ka	7	
奸	ka	1	
间	ka	1	
间	ka	5	
艰	ka	1	
监	ka	1	~牢
监	ka	5	~生
缄	ka	1	
简	ka	3	
碱	ka	3	
涧	ka	5	
豇	ka	1	
饺	ka	3	
铰	ka	3	~刀：剪刀
皎	ka	3	
阶	ka	1	
皆	ka	1	
街	ka	1	
解	ka	3	
戒	ka	5	
界	ka	5	
诫	ka	5	
纶	ka	1	
峡	ka	7	
偕	ka	1	
个	kai	5	
掴	kai	7	
归	kai	1	
规	kai	1	
瑰	kai	1	
轨	kai	3	
刽	kai	5	
桂	kai	5	
桧	kai	5	
蝈	kai	7	
国	kai	7	
帼	kai	7	
会	kai	5	~计
荟	kai	5	
绘	kai	5	
侩	kai	5	
脍	kai	5	
根	kaŋ	1	
跟	kaŋ	1	
艮	kaŋ	5	儒~
耿	kaŋ	3	
哽	kaŋ	3	
更	kaŋ	5	~加
管	kaŋ	3	白读
衮	kaŋ	4	
滚	kaŋ	3	
勾	kau	1	~引
勾	kau	5	~当
沟	kau	1	
钩	kau	1	
篝	kau	1	
苟	kau	3	
狗	kau	3	
枸	kau	3	~杞
构	kau	5	
购	kau	5	
诟	kau	5	
垢	kau	3	
姤	kau	5	
够	kau	5	
彀	kau	5	
彀	kau	7	近指代词，“居屋”合音
媾	kau	5	
句	kau	1	高~丽
冈	kɔ	1	
刚	kɔ	1	
肛	kɔ	1	
纲	kɔ	1	
钢	kɔ	1	
缸	kɔ	1	
岗	kɔ	3	
港	kɔ	3	
杠	kɔ	5	
光	kɔ	1	
咣	kɔ	1	
洸	kɔ	5	
胱	kɔ	1	
广	kɔ	3	
江	kɔ	1	
茳	kɔ	1	
姜	kɔ	1	姓氏
讲	kɔ	3	
绛	kɔ	5	
交	kɔ	1	
郊	kɔ	1	
茭	kɔ	1	
姣	kɔ	3	
胶	kɔ	1	
跤	kɔ	1	
鲛	kɔ	1	
佼	kɔ	3	
狡	kɔ	3	
绞	kɔ	3	
铰	kɔ	3	~钳
皎	kɔ	3	
搅	kɔ	3	
较	kɔ	5	
教	kɔ	1	
教	kɔ	5	
窖	kɔ	5	
酵	kɔ	5	
觉	kɔ	7	
扛	kɔ	1	
校	kɔ	5	
肴	kɔ	3	~配：配菜
该	ke	1	
赅	ke	1	
改	ke	3	
钙	ke	5	白读
盖	ke	5	
溉	ke	5	
概	ke	5	
几	ke	1	白读 ~俫：多少
几	ke	3	白读 ~个
居	ke	1	近指代词
皋	kə	1	
高	kə	1	
羔	kə	1	
槔	kə	1	
膏	kə	1	
篙	kə	1	
糕	kə	1	
杲	kə	3	
搞	kə	3	
槁	kə	5	
槀	kə	3	
镐	kə	3	
稿	kə	3	
告	kə	5	
郜	kə	5	
诰	kə	5	
锆	kə	5	
□	kɛ	5	呼气性呼吸困难
埂	kɛ	3	
梗	kɛ	3	
更	kɛ	1	三~
匄	kʰa	7	给
揩	kʰa	1	
楷	kʰa	3	
看	kʰa	1	~守所
客	kʰa	5	
垮	kʰa	3	
块	kʰa	5	
快	kʰa	5	
哙	kʰa	5	
宽	kʰa	1	
阔	kʰa	7	白读 ~绰
掐	kʰa	7	
恰	kʰa	7	
嵌	kʰa	5	
亏	kʰai	1	
岿	kʰai	1	
悝	kʰai	1	
盔	kʰai	1	
窥	kʰai	1	
奎	kʰai	3	
喹	kʰai	1	
魁	kʰai	1	
睽	kʰai	1	
喟	kʰai	5	
愧	kʰai	5	
肯	kʰaŋ	3	
垦	kʰaŋ	3	
吭	kʰaŋ	1	~声
坤	kʰaŋ	1	
堃	kʰaŋ	1	
捆	kʰaŋ	3	
困	kʰaŋ	5	白读 ~难
□	kʰau	1	禁锢
抠	kʰau	1	
抠	kʰau	1	
眍	kʰau	1	
口	kʰau	3	
叩	kʰau	5	
扣	kʰau	5	
寇	kʰau	5	
蔻	kʰau	5	
康	kʰɔ	1	
慷	kʰɔ	1	
糠	kʰɔ	1	
亢	kʰɔ	5	
伉	kʰɔ	5	表并列
囥	kʰɔ	5	放置
忼	kʰɔ	3	
炕	kʰɔ	5	
钪	kʰɔ	5	
宽	kʰɔ	1	白读 ~带
邝	kʰɔ	3	
圹	kʰɔ	5	
旷	kʰɔ	5	
矿	kʰɔ	5	
扩	kʰɔ	7	
扩	kʰɔ	7	
敲	kʰɔ	1	
巧	kʰɔ	3	
开	kʰe	1	
凯	kʰe	3	
恺	kʰe	5	
铠	kʰe	3	
慨	kʰe	5	
克	kʰe	7	
刻	kʰe	7	
去	kʰe	5	白读
熇	kʰə	3	
尻	kʰə	1	
尻	kʰə	1	
考	kʰə	3	
拷	kʰə	5	
栲	kʰə	3	
烤	kʰə	3	
铐	kʰə	5	
靠	kʰə	5	
㸆	kʰə	5	
□	kʰo	5	稳稳拿住
苛	kʰo	5	
珂	kʰo	1	
柯	kʰo	1	
钶	kʰo	1	
可	kʰo	3	
坷	kʰo	3	
夸	kʰo	1	
胯	kʰo	5	
跨	kʰo	5	
阔	kʰo	7	广~
廓	kʰo	7	
确	kʰo	7	
丐	kʰø	7	
钙	kʰø	7	
咳	kʰø	7	~嗽
勘	kʰø	1	
龛	kʰø	1	
侃	kʰø	3	
看	kʰø	5	~牛(不常用)
墈	kʰø	1	阶梯
科	kʰø	1	~室
嗑	kʰø	7	
磕	kʰø	7	
渴	kʰø	7	
昆	kʰø	1	
空	kʰoŋ	1	
空	kʰoŋ	5	
崆	kʰoŋ	5	
悾	kʰoŋ	1	
硿	kʰoŋ	1	
箜	kʰoŋ	1	
孔	kʰoŋ	3	
控	kʰoŋ	5	
啌	kʰoŋ	5	
踝	kʰu	1	
轲	kʰu	1	
棵	kʰu	1	
稞	kʰu	1	
窠	kʰu	1	
颗	kʰu	1	
蝌	kʰu	1	
课	kʰu	5	
刳	kʰu	1	
枯	kʰu	1	
哭	kʰu	7	
骷	kʰu	1	
苦	kʰu	3	
库	kʰu	5	
绔	kʰu	5	
绔	kʰu	5	
喾	kʰu	7	
裤	kʰu	5	
酷	kʰu	7	
窟	kʰye	7	
困	kʰye	5	
区	kʰye	1	市~
曲	kʰye	7	~折
屈	kʰye	7	
圈	kʰye	1	
犬	kʰye	3	
畎	kʰye	3	
劝	kʰye	5	~勉
券	kʰye	5	
缺	kʰye	7	
阙	kʰye	7	
阕	kʰye	7	
伽	ko	1	
盖	ko	5	姓氏
哥	ko	1	
搁	ko	1	
歌	ko	1	
阁	ko	7	
各	ko	7	
呱	ko	1	
瓜	ko	1	
卦	ko	5	
挂	ko	5	
褂	ko	5	
郭	ko	1	
花	ko	1	白读 落~生：花生
加	ko	1	
佳	ko	1	
迦	ko	1	
枷	ko	1	~锁
痂	ko	1	
家	ko	1	
袈	ko	1	
嘉	ko	1	
贾	ko	3	
假	ko	3	
假	ko	5	
价	ko	5	
架	ko	5	
嫁	ko	5	
稼	ko	1	
稼	ko	5	
角	ko	7	
觉	ko	7	
括	ko	7	
廓	ko	7	
甘	kø	1	
敢	kø	3	
感	kø	3	
橄	kø	3	
擀	kø	3	
干	kø	1	菜咸~：梅干菜
干	kø	5	~部
割	kø	1	
葛	kø	7	
冠	kø	1	~冕
贯	kø	5	
罐	kø	5	
诡	kø	3	
鬼	kø	3	文读 魔~
癸	kø	3	
晷	kø	3	
贵	kø	5	
棍	kø	5	
蛤	kø	7	文读 ~蜊
合	kø	7	白读
据	kø	1	拮~
跬	kø	3	
赣	koŋ	5	
戆	koŋ	5	~头~脑：头脑简单
工	koŋ	1	
公	koŋ	1	
功	koŋ	1	
攻	koŋ	1	
肱	koŋ	1	
恭	koŋ	1	~喜
蚣	koŋ	1	
龚	koŋ	1	
觥	koŋ	1	
巩	koŋ	3	
拱	koŋ	3	~桥；~券
贡	koŋ	5	
戈	ku	1	
舸	ku	3	
估	ku	3	
咕	ku	1	
沽	ku	1	
姑	ku	1	
轱	ku	1	
蛄	ku	1	
辜	ku	1	
酤	ku	1	
箍	ku	1	
古	ku	3	
谷	ku	7	
诂	ku	3	
股	ku	3	
骨	ku	7	
牯	ku	3	
罟	ku	3	
蛊	ku	3	
鹄	ku	7	
鼓	ku	3	
瞽	ku	3	
固	ku	5	
故	ku	5	
顾	ku	5	
梏	ku	7	
崮	ku	5	
雇	ku	5	
锢	ku	5	
痼	ku	5	
鲴	ku	5	
锅	ku	1	
果	ku	3	
裹	ku	3	
过	ku	5	
贾	ku	3	
锯	ku	5	~木
挝	ku	1	敲打
蜗	ku	1	
剐	ky	3	
寡	ky	3	
管	ky	3	
轨	ky	3	
肝	kye	1	
泔	kye	1	
柑	kye	1	
竿	kye	1	
秆	kye	3	
赶	kye	3	
枸	kye	3	~橼
观	kye	1	
官	kye	1	
冠	kye	5	~军
棺	kye	1	
馆	kye	3	
灌	kye	5	
圭	kye	1	
龟	kye	1	
规	kye	1	
闺	kye	1	
橘	kye	7	
锯	kye	5	~齿
卷	kye	3	
决	kye	7	
诀	kye	7	
抉	kye	1	
垃	la	8	
拉	la	1	你~人：你们
拉	la	8	~屁：放屁
邋	la	8	一~臀：最后
喇	la	8	
腊	la	8	
蜡	la	8	
辣	la	8	
赖	la	6	
癞	la	6	
兰	la	2	
岚	la	2	
拦	la	2	
栏	la	2	
阑	la	2	
蓝	la	2	
澜	la	2	
褴	la	2	
篮	la	2	
览	la	4	
揽	la	4	
缆	la	4	
懒	la	4	
滥	la	6	
勒	lai	8	
雷	lai	2	
嫘	lai	2	
缧	lai	2	
擂	lai	2	~鼓
擂	lai	6	~台
礌	lai	6	
镭	lai	2	
羸	lai	2	
耒	lai	4	
诔	lai	4	
垒	lai	4	
磊	lai	4	
蕾	lai	2	
儡	lai	4	
癗	lai	4	
泪	lai	6	
泪	lai	6	
累	lai	1	白读 ~堆：难搞
累	lai	4	积~
累	lai	6	受~
𨀤	lai	6	摔倒
唳	lai	6	
捩	lai	8	扭断
裸	lai	4	白读 赤膊坦~：光着膀子
摞	lai	6	叠
捋	lai	8	
棱	laŋ	2	
楞	laŋ	2	
薐	laŋ	2	
卵	laŋ	4	蛋
沦	laŋ	2	
轮	laŋ	2	
论	laŋ	6	~文(少见)
娄	lau	2	
偻	lau	2	
喽	lau	2	
楼	lau	2	
耧	lau	2	
蝼	lau	2	
髅	lau	2	
搂	lau	4	
嵝	lau	4	
篓	lau	4	
陋	lau	6	
镂	lau	6	
瘘	lau	6	
漏	lau	6	
露	lau	6	~出
郎	lɔ	2	
狼	lɔ	2	
阆	lɔ	6	
琅	lɔ	2	
廊	lɔ	2	
榔	lɔ	2	
锒	lɔ	2	
稂	lɔ	2	
螂	lɔ	2	
朗	lɔ	4	
莨	lɔ	6	
浪	lɔ	6	
来	le	2	
俫	le	2	人称复数助词
莱	le	2	
徕	le	2	
睐	le	6	
肋	le	8	
类	le	6	
捞	lə	1	
劳	lə	2	
牢	lə	2	
唠	lə	1	
崂	lə	2	
铹	lə	2	
痨	lə	6	肺~：肺结核
醪	lə	2	
佬	lə	2	童子~：对调皮男孩的贬称，可以是家长表示对自己孩子亲昵称呼，亦可泛指一个人做事浮夸不老实，亦作“童子痨”
姥	lə	4	
嫪	lə	2	
六	ləu	8	
冷	lɛ	4	
两	lɛ	4	
辆	lɛ	4	
□	li	4	近指代词
哩	li	1	
厘	li	2	
离	li	2	
骊	li	2	
梨	li	2	
犁	li	2	
喱	li	1	近指代词
蜊	li	2	
璃	li	2	
黎	li	2	
篱	li	2	
蠡	li	4	
礼	li	4	
李	li	4	
里	li	4	
娌	li	4	
理	li	4	
鲤	li	4	
力	li	8	
历	li	8	
厉	li	6	
立	li	8	
吏	li	6	
丽	li	6	
励	li	6	
利	li	6	
沥	li	8	
例	li	6	
戾	li	6	
隶	li	6	
荔	li	6	
郦	li	2	
俪	li	6	
莉	li	6	
莅	li	6	
砾	li	8	
蛎	li	6	
笠	li	8	
痢	li	6	
栗	lie	8	
奁	lie	2	
连	lie	2	
怜	lie	2	
帘	lie	2	
莲	lie	2	
涟	lie	2	
梿	lie	2	
联	lie	2	
廉	lie	2	
敛	lie	4	
脸	lie	4	
练	lie	6	
炼	lie	6	
恋	lie	6	
殓	lie	6	
潋	lie	6	
咧	lie	1	
列	lie	8	
劣	lie	8	
冽	lie	8	
烈	lie	8	
猎	lie	8	
裂	lie	8	
邻	lieŋ	2	
林	lieŋ	2	
临	lieŋ	2	
淋	lieŋ	2	
琳	lieŋ	2	
粼	lieŋ	2	
嶙	lieŋ	2	
霖	lieŋ	2	
鳞	lieŋ	2	
麟	lieŋ	2	
吝	lieŋ	4	
蔺	lieŋ	4	
躏	lieŋ	4	
〇	lieŋ	2	
伶	lieŋ	2	
灵	lieŋ	2	
铃	lieŋ	2	
凌	lieŋ	2	
陵	lieŋ	2	
绫	lieŋ	2	
零	lieŋ	2	
另	lieŋ	4	
令	lieŋ	4	
呤	lieŋ	2	
溜	liəu	6	
刘	liəu	2	
浏	liəu	4	
留	liəu	2	
流	liəu	2	
馏	liəu	2	
榴	liəu	2	
瘤	liəu	2	
