#漢字	音標	解釋
㓾	tsʰɿ2	~鱼
奇	tɕiᶨ1	
奇	tɕʰiᶨ2	
奈	nᴇ6	
奉	fɔŋ6	
奮	fəŋ5	
奎	kʰuɤɪ2	
契	tɕʰiᶨ5	
奓	tsʰɑ5	衣服~开
奔	pəŋ1	
奔	pəŋ5	
獎	tɕiã3	
套	tʰǫ5	
奘	tsuã3	
奘	tsã5	
奚	tɕʰiᶨ2	姓
奠	tʰĩ6	
奡	ŋǫ6	抬头
奢	sᴇ1	文
奢	sɑ1	白
奧	ŋǫ5	
女	ȵyᶨ3	
奴	nʋ̩2	
奶	nᴇ3	
奶	nᴇ1	吃~
奸	tɕiẽ1	文
奸	kẽ1	白
她	tʰɑ1	
好	xǫ3	
好	xǫ5	
如	ʐʋ̩2	
妃	fɤɪ1	
妄	ʋã6	
妝	tsuã1	
婦	fʋ̩6	
媽	mɑ1	
妊	ʐəŋ6	
妍	ĩ2	文
妍	nĩ2	白
妒	tʋ̩5	
妓	tɕʰiᶨ1	
妓	tɕʰiᶨ6	
妖	iǫ1	
妙	miǫ6	
妞	ȵiɘʊ1	
妣	pʰiᶨ1	
妥	tʰɘʊ3	
妨	fã2	
妮	ȵiᶨ2	
妯	tsʰɔʔ8	
妲	tɛʔ7	
妹	mɤɪ6	
妻	tɕʰiᶨ1	
妾	tɕʰiʔ7	
姆	mɘʊ3	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɑ3	白
姐	tɕi3	读书音，小~
姑	kʋ̩1	
委	ʋɤɪ3	
姗	sẽ1	
姘	pʰiŋ1	
姚	iǫ2	
姜	tɕiã1	
姥	lǫ3	
姨	iᶨ2	
姬	tɕiᶨ1	
姹	tsʰɑ5	
姻	iŋ1	
姿	tsɿ1	
威	ʋɤɪ1	
娃	ʋɑ2	
婁	lɤɪ2	
嬈	ʐǫ2	
嬌	tɕiǫ1	
孌	lʊ̃2	
娌	liᶨ3	
娘	ȵiã2	
娜	nɑ6	
娟	tɕiʊ̃1	
娠	səŋ1	
娠	tsʰəŋ2	
娥	ŋɘʊ2	
娩	mĩ3	
娛	yᶨ2	
媧	ʋɑ1	
娴	ɕiẽ2	文
娶	tɕʰyᶨ3	
娼	tsʰã1	
婀	əʔ7	
婆	pʰɘʊ2	
婊	piǫ3	
婚	xuəŋ1	
婢	pɤɪ1	
婢	piᶨ5	
婫	kuəŋ5	闷
嬰	iŋ1	
嬋	tɕʰĩ2	
嬸	səŋ3	
婷	tʰiŋ2	
婿	ɕyᶨ5	
媒	mɤɪ2	
媚	miᶨ2	
媚	miᶨ6	
媚	mɤɪ6	
媛	iʊ̃2	
媳	ɕiəʔ7	
嫁	tɕiɑ5	文
嫁	kɑ5	白，出~
嫂	sǫ3	
嫉	tɕʰiəʔ8	
嫌	ɕĩ2	
嫌	ɕĩ5	
嫖	pʰiǫ2	
嫡	tiəʔ7	
嫦	tsʰã2	
嫩	nəŋ6	
嬉	ɕiᶨ1	
嬲	ȵiǫ5	软弱无能
嬴	iŋ2	
嬷	mɘʊ2	
孀	suã1	
孃	ȵiã1	~~:姑母(父亲的姊妹)
孃	ȵiã5	~~:叔母(父亲兄弟的妻子)
子	tsɿ3	
孓	tɕiʊʔ7	
孔	kʰɔŋ3	
孕	yŋ6	
字	tsʰɿ6	
存	tsʰuəŋ2	
孫	suəŋ1	
孚	fʋ̩2	
孜	tsɿ1	
孝	ɕiǫ5	文
孝	xǫ5	白，~帽儿
孟	mɔŋ3	
孢	pǫ1	
季	tɕiᶨ5	
孤	kʋ̩1	
學	ɕiaʔ8	文，~校
學	xaʔ8	白，放~
孩	xᴇ2	
孿	lʊ̃2	
孬	nǫ1	
孰	sɔʔ8	
孱	tsʰẽ2	
孱	tsʰẽ5	
孵	fʋ̩1	文，~蛋
孵	pʰʋ̩1	白
孺	ʐʋ̩2	
孽	niʔ8	
寧	nəŋ2	~可
寧	niŋ6	又音
寧	niŋ2	安~
它	tʰɑ1	
宅	tsʰəʔ7	一~房子
宅	tsʰaʔ8	房子
宇	yᶨ3	
守	sɤɪ3	
安	ʊ̃1	
宋	sɔŋ5	
完	ʊ̃2	
宕	tʰã6	
宗	tsɔŋ1	
官	kʊ̃1	
宙	tsɤɪ5	文
宙	tsʰɤɪ6	白
定	tʰiŋ6	
定	tʰĩ6	限~:非得
宛	ʊ̃3	
宜	iᶨ2	
寶	pǫ3	
實	səʔ8	
寵	tsʰɔŋ3	
審	səŋ3	
客	kʰəʔ7	
客	kʰaʔ7	白，堂~:老婆
宣	ɕiʊ̃1	
室	səʔ7	
宦	xuẽ5	
宪	ɕĩ5	
宮	kɔŋ1	
宰	tsᴇ3	
害	xᴇ6	
宴	ĩ5	
宵	ɕiǫ1	
家	tɕiɑ1	文
家	kɑ1	白
容	iɔŋ2	
寬	kʰʊ̃1	
賓	piŋ1	
宿	sɔʔ7	
寂	tɕʰiəʔ8	
寄	tɕiᶨ5	
寅	iŋ2	
密	miəʔ8	
寇	kʰɤɪ5	
富	fʋ̩5	
寐	mɤɪ6	
寒	xʊ̃2	
寓	yᶨ6	
寢	tɕʰiŋ3	
寞	maʔ8	
察	tsʰɛʔ7	
寡	kuɑ3	
寨	tsᴇ5	文
寨	sᴇ5	白
寸	tsʰuəŋ5	
對	tuɤɪ5	
對	tɤɪ5	又音
寺	tsʰɿ6	~庙
尋	tɕʰiŋ2	
尋	tɕʰyŋ2	又音
導	tʰǫ3	
壽	sɤɪ6	
封	fɔŋ1	文
封	pɔŋ1	白，窗~
射	sᴇ6	文
射	sɑ6	白，~箭
將	tɕiã1	
將	tɕiã5	
尉	ʋɤɪ5	
尉	yɘʔ7	
尊	tsuəŋ1	
小	ɕiǫ3	
少	sǫ3	
少	sǫ5	
尔	ɚ3	
尕	kɑ3	
尖	tɕĩ1	
塵	tsʰəŋ2	
尚	sã6	
嘗	sã2	
尤	iɘʊ2	
堯	iǫ2	
尬	kɑ5	
就	tɕʰiɘʊ2	
就	tɕʰiɘʊ6	
尷	kẽ1	
屍	sɿ1	
尺	tsʰəʔ7	
尻	kʰǫ1	
尼	ȵiᶨ2	
尽	tɕʰiŋ6	
尾	ʋɤɪ3	
尿	ȵiǫ6	
尿	ɕyᶨ1	小便
局	tɕʰiɔʔ8	
屁	pʰiᶨ5	
層	tsʰəŋ2	
屄	piᶨ1	
居	tɕyᶨ1	
屈	tɕʰyɘʔ7	
屉	tʰiᶨ5	
屆	kᴇ5	应~
屋	ʋɔʔ7	
屋	ɔʔ7	老派
屌	tiǫ3	
屎	sɿ3	
屏	pʰiŋ2	
屐	tɕiᶨ1	
屑	ɕyɘʔ7	灰尘
展	tɕĩ3	
屙	ɘʊ1	
屬	tsʰɔʔ8	~实
屬	sɔʔ8	~于
屬	sɔʔ7	肖~
屬	tsɔʔ7	附~
屠	tʰʋ̩2	
屢	lyᶨ3	文
屢	luɤɪ3	白
屯	tʰəŋ2	
山	sẽ1	
屹	iəʔ8	
嶼	yᶨ3	
歲	suɤɪ5	文
歲	ɕyᶨ5	白
豈	tɕʰiᶨ3	
岑	tsʰəŋ2	
岔	tsʰɑ5	
嶇	tɕʰyᶨ1	
崗	kã1	
崗	kã3	
島	tǫ3	
巖	ŋẽ2	
嶺	liŋ3	
岳	iaʔ8	
岸	ʊ̃6	河~
峽	ɕiɛʔ8	文
峽	xɛʔ8	白
崢	tsəŋ1	
巒	lʊ̃2	
峰	fɔŋ2	
峻	tɕyŋ5	
崇	tsʰɔŋ2	
崔	tsʰuɤɪ1	
崖	iɑ2	文
崩	pɔŋ1	
嶄	tsẽ3	
崴	ʋᴇ3	
崽	tsᴇ3	
嵋	miᶨ2	
嵋	mɤɪ2	
嵌	kʰẽ5	
嶸	iɔŋ2	
嵩	sɔŋ1	
川	tsʰʊ̃1	
州	tsɤɪ1	
巡	tɕʰyŋ2	
巡	ɕyŋ2	
巢	tsʰǫ2	
工	kɔŋ1	
左	tsɘʊ3	
巧	tɕʰiǫ3	
巨	tɕyᶨ5	文
巨	tɕʰyᶨ6	白
鞏	kɔŋ3	
巫	fʋ̩2	
差	tsʰɑ1	~错
差	tsʰᴇ1	出~
差	tsʰɿ1	参~
己	tɕiᶨ3	
已	iᶨ3	
巳	tsʰɿ6	
巴	pɑ1	
巷	xã6	
巽	suəŋ5	
巾	tɕiŋ1	
幣	pʰiᶨ6	
幣	pʰɤɪ6	
市	sɿ6	
布	pʋ̩5	
帥	suᴇ5	
帆	fẽ1	
師	sɿ1	
希	ɕiᶨ1	
帳	tsã5	
帕	pʰɑ5	
帕	pʰɔʔ7	
帖	tʰiʔ7	
帘	lĩ2	
帚	tsɤɪ1	
帛	pʰɔʔ8	
幟	tsɿ5	
帝	tʰiᶨ6	关~
帝	tɕʰyᶨ6	又音，皇~
帶	tᴇ5	
幀	tsəŋ1	
幫	pã1	
常	tsʰã2	
幗	kɔʔ7	
帽	mǫ6	
幂	miəʔ8	
幅	fɔʔ7	
幌	xuã3	
幕	maʔ8	
幡	fẽ1	
幢	tʰɔŋ2	
幢	tsʰuã6	
干	kʊ̃1	
平	pʰiŋ2	
年	nĩ2	
幸	ɕiŋ6	
幹	kẽ5	文，~部
幹	kʊ̃5	白
幺	iǫ1	
幼	iɘʊ5	
幽	iɘʊ1	
廣	kuã3	
莊	tsuã1	
慶	tɕʰiŋ5	
庇	pʰiᶨ6	
牀	tsʰuã2	
序	tɕʰyᶨ6	
序	ɕyᶨ6	
廬	lʋ̩2	
庫	kʰʋ̩5	
應	iŋ1	
應	iŋ5	
底	tiᶨ3	
店	tĩ5	
廟	miǫ6	
庚	kəŋ1	
府	fʋ̩3	
龐	pʰã2	
廢	fɤɪ5	
庠	tɕʰiã2	
度	tʰʋ̩6	
座	tsʰɘʊ6	
庭	tʰiŋ2	
庵	ʊ̃1	
庶	sʋ̩5	
康	kʰã1	
庸	iɔŋ1	
庸	iɔŋ2	
庹	tʰaʔ7	
廉	lĩ2	
廊	lã2	
廒	ŋǫ2	仓~
廓	kuaʔ7	
廓	kʰuaʔ7	~清
廖	liǫ6	
延	ĩ2	
廷	tʰiŋ2	
建	tɕĩ5	
廿	nĩ6	
開	kʰᴇ1	
弁	pʰĩ2	
异	iᶨ6	
弃	tɕʰiᶨ5	
弄	nɔŋ6	文，玩~
弄	lɔŋ6	白，~堂
弊	piᶨ5	
式	səʔ7	
弓	kɔŋ1	
引	iŋ3	
弗	fəʔ8	
弘	xɔŋ2	
弛	tsʰɿ2	
弟	tʰiᶨ6	
張	tsã1	
弥	miᶨ2	
弦	ɕĩ2	
弧	xʋ̩2	
彎	ʋẽ1	
彎	ʋẽ5	
弱	ʐaʔ8	
弶	tɕʰiã5	调~:翻身
彈	tʰẽ2	
彈	tʰẽ6	
强	tɕʰiã2	
强	tɕʰiã6	
弼	piəʔ7	
歸	kuɤɪ1	
當	tã1	
當	tã5	上~
彖	tʰʊ̃5	
彗	xuɤɪ5	~星
彘	tsɿ5	
形	ɕiŋ2	
彤	tʰɔŋ2	
彦	iẽ6	文
彦	ĩ6	白
彩	tsʰᴇ3	
彪	piǫ1	
彬	piŋ1	
彭	pʰɔŋ2	
彰	tsã1	
彰	tsã5	~显
影	iŋ3	
彷	pʰã2	
彷	fã3	
役	yɘʔ8	
徹	tɕʰiʔ7	
彼	piᶨ3	
往	ʋã3	
征	tsəŋ1	
徑	tɕiŋ5	
待	tʰᴇ6	
很	xəŋ3	
徉	iã2	
律	liəʔ8	
後	xɤɪ6	
徐	tɕʰyᶨ2	
徐	tɕʰiᶨ2	~家庄
徒	tʰʋ̩2	
得	təʔ7	
徙	ɕiᶨ3	
御	yᶨ6	
徨	xuã2	
循	tɕʰyŋ2	
微	ʋɤɪ2	
德	təʔ7	
徽	xuɤɪ1	
心	ɕiŋ1	
必	piəʔ7	
憶	iᶨ5	
忌	tɕʰiᶨ6	
忍	ʐəŋ3	
忐	tʰẽ3	
忑	tʰəʔ7	
忒	tʰəʔ7	
忖	tsʰuəŋ3	
志	tsɿ5	
忘	ʋã6	
忙	mã2	
忝	tʰĩ3	
忠	tsɔŋ1	
忤	ʋ̩3	
憂	iɘʊ1	
忪	sɔŋ1	
快	kʰuᴇ5	
念	nĩ6	
忽	xuəʔ7	
忾	kʰᴇ5	
懷	xuᴇ2	
態	tʰᴇ6	
慫	sɔŋ3	
慪	ŋɤɪ5	
悵	tsʰã5	
愴	tsʰuã5	
怎	tsəŋ3	
怏	iã5	
怒	nʋ̩6	
怕	pʰɑ5	
怖	pʋ̩5	
憐	lĩ2	
思	sɿ1	
怠	tʰᴇ6	
怡	iᶨ2	
急	tɕiəʔ7	
怦	pʰɔŋ1	
性	ɕiŋ5	
怨	iʊ̃5	
怪	kuᴇ5	
怫	fəʔ7	
怭	pʰiəʔ8	心跳加快
怯	tɕʰiʔ7	
總	tsɔŋ3	
恁	nəŋ5	
恃	tsʰɿ2	
戀	lĩ6	
恍	xuã3	
恐	kʰɔŋ3	
恆	xəŋ2	
恕	sʋ̩5	
恙	iã6	
恢	xuɤɪ1	
恣	tsɿ5	
恤	ɕiʊʔ7	
恨	xəŋ6	
恩	ŋəŋ1	
恪	kʰaʔ7	
恪	kʰəʔ7	
恫	tʰɔŋ6	
恬	tʰĩ2	
恭	kɔŋ1	
息	ɕiəʔ7	
恰	tɕʰiaʔ7	文
恰	kʰɛʔ7	白
懇	kʰəŋ3	
恶	ʋ̩5	
恶	ŋaʔ7	
慟	tʰɔŋ5	
懨	ĩ5	
惻	tsʰəʔ7	
惱	nǫ3	
恿	iɔŋ3	
悄	tɕʰiǫ1	
悄	tɕʰiǫ3	
悉	ɕiəʔ7	
悌	tʰiᶨ5	
悍	xʊ̃6	
悔	xuɤɪ3	
悚	sɔŋ3	
悛	tɕʰiʊ̃1	
悛	tɕʰiʊ̃5	怙恶不~
悟	ʋ̩6	
悠	iɘʊ1	
患	xuẽ5	文
患	xuẽ6	白
悦	iʊʔ8	
您	niŋ2	
懸	ɕiʊ̃2	
慳	kʰəŋ5	吝啬
憫	miŋ3	
悲	pɤɪ1	
悸	tɕiᶨ5	
悼	tʰǫ3	
悼	tʰǫ6	
情	tɕʰiŋ2	
惆	tsʰɤɪ2	
驚	tɕiŋ1	
惋	ʊ̃3	
惑	xɔʔ8	
惕	tʰiəʔ7	
惘	ʋã3	
惙	tsʰɘʊ3	~虚:做事匆忙慌乱
惙	tsʰʊʔ8	~虚
惚	xuəʔ7	
惝	tʰã3	
惟	ʋɤɪ2	
惠	xuɤɪ6	
惦	tĩ5	
懼	tɕyᶨ5	文
慘	tsʰẽ3	
懲	tsʰəŋ2	
愜	tɕʰiᴇ5	文
愜	ɕiɑ5	白，~意
慚	tsʰẽ2	
憚	tẽ5	文
慣	kuẽ5	
惰	tʰɘʊ3	
惰	tɘʊ5	文
惰	tʰɘʊ6	白
想	ɕiã3	
惶	xuã2	
惹	ʐɑ3	
惺	ɕiŋ1	
愁	tsʰɤɪ2	
愈	yᶨ6	
愉	yᶨ2	
意	iᶨ5	
愕	ŋaʔ8	
愚	yᶨ2	
感	kʊ̃3	
慍	yŋ5	
愣	ləŋ6	~子:口吃
憤	fəŋ5	
愧	kʰuɤɪ5	
願	iʊ̃6	
慈	tsʰɿ2	
慌	xuã1	
慎	səŋ6	
慕	mɘʊ6	
慢	mẽ6	
慧	xuɤɪ6	
慨	kʰᴇ3	
慰	ʋɤɪ5	
慵	iɔŋ1	
慷	kʰã1	
憋	piʔ7	
憎	tsəŋ1	
憔	tɕʰiǫ2	
憧	tsʰɔŋ1	
憨	xʊ̃1	
憬	tɕiŋ3	
懂	tɔŋ3	
懈	ɕiᴇ6	文
懈	xᴇ6	白
懊	ŋǫ5	
懣	məŋ5	
懶	lẽ3	
懦	nɘʊ6	
懵	mɔŋ3	
懿	iᶨ5	
戇	kã5	
戇	kʰã6	~头:倔强而不听劝说的人
戈	kʊ̃1	~壁
戊	ʋ̩6	
戌	ɕyɘʔ7	
戎	ʐɔŋ2	
戲	ɕiᶨ5	
成	tsʰəŋ2	
我	ŋɘʊ3	
戒	kᴇ5	~指
或	xuaʔ8	
或	xɔʔ8	
戧	tɕʰiã5	
戰	tɕĩ5	
戚	tɕʰiəʔ7	
戛	kɛʔ7	
戛	tɕiɑ2	文
戡	kʰʊ̃3	
戥	təŋ3	
截	tɕʰiʔ8	
戮	lɔʔ8	
戳	tsʰuaʔ7	
戴	tᴇ5	
戶	xʋ̩6	文
戶	ʋ̩3	白，~槛
戶	ʋ̩6	白，~槛
戽	xʋ̩5	~风
戾	liᶨ6	
房	fã2	
所	sɘʊ3	
扁	pʰĩ1	
扁	pĩ3	
扃	tɕiɔŋ1	
扇	ɕĩ1	
扇	ɕĩ5	
手	sɤɪ3	
才	tsʰᴇ2	
扎	tsɛʔ7	
扑	pʰɔʔ7	
扒	pɑ1	
扒	pʰɑ2	
打	tɑ3	
扔	ʐəŋ1	
托	tʰaʔ7	
扚	tiəʔ7	
扛	kã1	
扛	kʰã2	
扣	kʰɤɪ1	
扣	kʰɤɪ5	
執	tsəʔ7	
擴	kʰuaʔ7	
捫	məŋ2	
掃	sǫ3	
揚	iã2	
扭	ȵiɘʊ3	
扮	pẽ5	
扯	tsʰɑ3	
擾	ʐǫ3	
扳	pẽ1	
扶	fʋ̩2	
扶	fʋ̩5	~儿
扶	fʋ̩1	把~
批	pʰiᶨ1	
扼	ŋəʔ8	
找	tsǫ3	
承	tsʰəŋ2	
技	tɕʰiᶨ1	
技	tɕʰiᶨ6	
抄	tsʰǫ1	
抈	ʋəʔ7	
抈	yɘʔ7	
抉	tɕiʊʔ7	
把	pɑ3	
把	pɑ5	
抐	nəʔ8	用手捏紧
抑	iəʔ7	
抒	sʋ̩1	
抓	tsuɑ1	
投	tʰɤɪ2	
抖	tɤɪ3	
抗	kʰã5	
折	tɕiʔ7	
折	ɕiʔ8	~本
折	tsiʔ7	又音
折	siʔ8	又音
撫	fʋ̩3	
撫	fʋ̩2	~养
抛	pʰǫ1	
摶	tʰʊ̃2	
摳	kʰɤɪ1	
摳	kʰɤɪ2	~门，小气
掄	ləŋ1	
搶	tɕʰiã3	
護	xʋ̩6	文
護	kʰʋ̩6	白，~住:抠紧，不给别人
護	ʋ̩6	白，~短
報	pǫ5	
抨	pʰɔŋ1	
披	pʰiᶨ1	
抬	tʰᴇ2	
抱	pʰǫ6	
抱	pǫ1	~怨
抵	tiᶨ3	
抹	mɛʔ8	
抻	səŋ5	拉伸
押	ŋɛʔ7	
抽	tsʰɤɪ1	
抽	tsʰɤɪ2	
抿	miŋ3	
拂	fəʔ8	
拃	tsɑ1	拇指与食指张开距离
拄	tsʋ̩3	
擔	tẽ1	
擔	tẽ5	
拆	tsʰəʔ7	
拇	mɘʊ3	
拈	nĩ1	
拈	nĩ2	
拉	lɑ1	
拉	lɑ2	~尿~屎
拉	lɑ6	~倒
拌	pʰʊ̃6	~种
拍	pʰɔʔ7	
拎	liŋ1	
拐	kuᴇ3	
拒	tɕyᶨ5	文
拒	tɕʰyᶨ6	白
拓	tʰaʔ7	
拔	pʰɛʔ8	
拖	tʰɘʊ1	
拖	tʰᴇ1	~板儿:拖鞋
拗	ŋǫ3	
拗	ŋǫ5	
拗	ȵiɘʊ5	
拘	tɕyᶨ1	
拙	tsʊʔ7	
拚	pʰʊ̃1	~命
招	tsǫ1	
拜	pᴇ5	
擬	ȵiᶨ3	
擬	ȵiᶨ5	
攏	lɔŋ3	
揀	kẽ3	
擁	iɔŋ3	
攔	lẽ2	
擰	niŋ1	
擰	niŋ3	
撥	pʊʔ7	
擇	tsʰəʔ8	~菜
拫	kʰəŋ2	双手用力推
括	kuɛʔ7	
拭	sɿ5	
拯	tsəŋ3	
拱	kɔŋ3	
拳	tɕʰiʊ̃2	
拴	suẽ1	
拷	kʰǫ3	
拻	xuᴇ3	大吃一顿
拼	pʰiŋ1	
拽	iʔ7	
拽	tsuᴇ1	打~:回还
拽	tsuᴇ5	拉
拾	səʔ8	
拿	nɑ2	
持	tsʰɿ2	
挂	kuɑ5	
指	tsɿ3	
指	tsəʔ7	
按	ʊ̃1	
按	ʊ̃5	~照
挎	kʰuɑ5	
挑	tʰiǫ1	
挑	tʰiǫ3	
挖	ʋɛʔ7	
摯	tsɿ5	
攣	lʊ̃2	
掗	ŋɑ1	
掗	ŋɑ5	硬挤
掗	ŋɑ6	硬塞
撾	ɘʊ1	
撾	tsuɑ1	敲打
撻	tʰɛʔ8	
撓	nǫ2	
擋	tã3	
掙	tsəŋ1	
掙	tsəŋ5	
擠	tɕiᶨ3	
揮	xuɤɪ1	
挨	ŋᴇ1	
挨	ŋᴇ2	
挪	nɘʊ2	
挫	tsʰɘʊ5	
振	tsəŋ5	
挺	tʰiŋ3	
挽	ʋẽ3	
挽	ʋẽ5	
捅	tʰɔŋ3	
捆	kʰuəŋ3	
捉	tsuaʔ7	
捋	lʊʔ8	
捌	pɛʔ7	
捍	xʊ̃6	
捎	sǫ1	
捏	niʔ8	
捏	niəʔ8	
捐	tɕiʊ̃1	
捕	pʰʋ̩3	
捘	tsuəŋ5	搓绳或搓线先要将单股搓上劲称~
撈	lǫ1	文
撈	lǫ2	白
損	suəŋ3	
撿	tɕĩ3	
換	xʊ̃6	
搗	tǫ3	
捥	ʋəʔ7	肢体受伤
捧	pʰɔŋ3	
捨	sɑ3	~得
捨	sᴇ3	文
据	tɕyᶨ5	
捶	tsʰuɤɪ2	
捷	tɕʰiʔ8	
捺	nɛʔ8	
捻	nĩ3	
掀	ɕĩ1	
掂	tĩ1	
掇	tʊʔ7	
授	sɤɪ5	文
授	sɤɪ6	白
掉	tiǫ5	
掉	tʰiǫ6	~头
掌	tsã3	
掏	tʰǫ1	
掏	tʰǫ2	~洞
掐	kʰɛʔ7	
排	pʰᴇ2	
掖	iəʔ8	
掘	tɕʰyɘʔ8	
掘	tɕʰiʊʔ8	~港
掝	xɔʔ7	裂
掠	lɛʔ8	
探	tʰʊ̃3	
探	tʰʊ̃5	~索
接	tɕiʔ7	
控	kʰɔŋ5	
推	tʰuɤɪ1	
掩	ĩ3	
掬	tɕyɘʔ7	
掭	tʰĩ5	
掯	kʰəŋ5	
掰	pᴇ1	
擄	lʋ̩3	
摑	xuɛʔ7	
擲	tsʰəʔ8	~骰儿
撣	tẽ3	
摻	tsʰẽ2	
摜	kʰuẽ6	
掾	iʊ̃6	
掿	naʔ8	
揉	ʐɤɪ2	
揉	ʐuɤɪ2	又音
揍	tsɤɪ5	
描	miǫ2	
提	tʰiᶨ2	
插	tsʰɛʔ7	
揖	iəʔ7	~草;作~
揞	ʊ̃3	用手~住
握	ʋaʔ7	
握	ʋɔʔ7	
握	ɔʔ7	老派又音
揢	kʰɑ2	
揢	kʰɑ5	
揣	tsʰuᴇ3	
揩	kʰᴇ1	
揩	kʰᴇ2	~人，碰或得罪人
揪	tɕiɘʊ1	
揭	tɕiʔ7	
揭	ɕiʔ7	
援	iʊ̃2	
揸	tsɑ1	把手指张开来
攬	lẽ3	
撳	tɕʰiŋ5	按
攙	tsʰẽ1	
擱	kaʔ7	
摟	lɤɪ3	
攪	tɕiǫ3	文
攪	kǫ3	白
搉	kʰaʔ7	
搋	tsʰuᴇ1	
搌	tɕĩ3	~澡
搏	paʔ7	
搐	tsʰɔʔ7	
搓	tsʰɘʊ1	
搔	sǫ1	
搕	ʊʔ7	
搛	tɕĩ1	
搜	sɤɪ1	
搝	tɕʰiɘʊ3	~钱
搞	kǫ3	
搡	sã3	
搬	pʊ̃1	
搬	pʰʊ̃2	
搬	pʰʊʔ8	~水，把一块田里的水送到另一块田里
搭	tɛʔ7	
搲	ʋɑ1	剜，刨开
搳	xuɛʔ7	
攜	ɕiᴇ2	文
攜	ɕiᶨ2	白
搽	tsʰɑ2	
摁	ŋəŋ2	借字，表示推;脾气古怪
摁	ŋəŋ5	按
攝	ɕiʔ7	
摆	pᴇ3	
摇	iǫ2	
攤	tʰẽ1	
摒	piŋ5	
摔	suᴇ1	
摘	tsəʔ7	
摞	lɘʊ6	
摧	tsʰuɤɪ1	
摩	mɘʊ2	
摸	maʔ8	
摹	mɘʊ2	
摺	tɕiʔ7	
撂	liǫ6	
撅	tɕiʊʔ7	
撇	pʰiʔ7	
撑	tsʰəŋ1	
撒	sɛʔ7	
撕	sɿ1	
撞	tsʰuã6	
撞	tsʰuã3	又音
撤	tɕʰiʔ7	
撩	liǫ1	
撩	liǫ2	
撬	tɕʰiǫ6	
播	pɘʊ3	
撮	tsʊʔ7	
撮	tsʰʊʔ7	
撰	tsuẽ5	
攆	nĩ3	
擼	lʋ̩2	用手将钱物归拢，或用手在物体表面抹来抹去
攛	tsʰʊ̃1	
撼	xʊ̃5	
擀	kʊ̃3	
擅	ɕĩ6	
操	tsʰǫ1	
擎	tɕʰiŋ2	
擒	tɕʰiŋ2	
擓	kʰuᴇ3	
擓	kʰuᴇ6	
擤	ɕiŋ3	
擤	xɔŋ3	~黄𪐖
擦	tsʰɛʔ7	
擸	lᴇ6	~𢶍:肮脏
攀	pẽ1	
攀	pʰẽ1	
攢	tsʰʊ̃2	
攢	tsʊ̃3	
攢	tsẽ3	
攘	ʐã3	
支	tsɿ1	
收	sɤɪ1	
改	kᴇ3	
攻	kɔŋ1	
攽	pẽ1	分开，掰断
放	fã5	
政	tsəŋ5	
故	kʋ̩5	
效	ɕiǫ6	文
敵	tʰiəʔ8	
敏	miŋ3	
救	tɕiɘʊ5	
敖	ŋǫ2	
教	tɕiǫ5	文
教	kǫ1	白
斂	lĩ3	
敝	piᶨ5	
敞	tsʰã3	
敢	kʊ̃3	
散	sẽ3	
散	sẽ5	
敬	tɕiŋ5	
數	sʋ̩3	
數	sʋ̩5	
數	sɘʊ5	屡次
敲	kʰǫ1	
整	tsəŋ3	
敷	fʋ̩1	
文	ʋəŋ2	
齋	tsᴇ1	做~，佛事活动
斌	piŋ1	
斑	pẽ1	
斕	lẽ2	
斗	tɤɪ3	
斗	tɤɪ5	
料	liǫ6	
斛	xɔʔ8	
斜	tɕʰiɑ2	
斟	tsəŋ1	
斡	ʊʔ7	
斢	tʰiǫ3	调换
斤	tɕiŋ1	
斥	tsʰəʔ7	
斧	fʋ̩3	
斬	tsẽ3	
斫	tsaʔ7	
斷	tʰʊ̃6	
斯	sɿ1	
新	ɕiŋ1	
方	fã1	
於	yᶨ1	
施	sɿ1	
旁	pʰã2	
旅	lyᶨ3	文
旅	luɤɪ3	白
旋	ɕiʊ̃2	
旋	tɕʰiʊ̃6	
族	tsʰɔʔ8	
旗	tɕʰiᶨ2	
無	ʋ̩2	
既	tɕiᶨ5	
日	ʐiʔ8	
旦	tẽ5	
舊	tɕʰiɘʊ6	
旨	tsɿ3	
早	tsǫ3	
旬	ɕyŋ2	
旭	ɕiɔʔ7	
旮	kaʔ7	~旯
旯	laʔ8	旮~
旱	xʊ̃6	
時	sɿ2	
曠	kʰuã5	
旺	ʋã5	
旺	ʋã6	
昂	ŋã2	
昂	ŋã3	倔强
昃	tsəʔ7	
昆	kʰuəŋ1	
昌	tsʰã1	
明	miŋ2	
明	məŋ2	~朝
昏	xuəŋ1	
易	iᶨ6	
易	iəʔ8	
曇	tʰʊ̃2	
星	ɕiŋ1	
映	iŋ5	
春	tsʰuəŋ1	
昧	mɤɪ6	
昨	tsʰaʔ8	
昨	tsʰɑ6	~儿
昭	tsǫ1	
是	sɿ6	
昱	iɔʔ7	
昴	mǫ3	
昵	ȵiᶨ2	
晝	tsɤɪ5	
顯	ɕĩ3	
晃	xuã5	
晉	tɕyŋ5	
晌	sã3	
晏	ŋẽ5	
曬	sᴇ5	
曉	ɕiǫ3	
曄	iʔ7	
暈	yŋ1	
暈	yŋ6	
暉	xuɤɪ1	
晗	xʊ̃2	
晚	ʋẽ3	
晤	ʋ̩6	
晦	xuɤɪ5	
