#漢字	音標	解釋#('hsn_cayi_ss', '韶山話', '韶山', '#FF69B4', None, None, '版本：2.0 (2021-12-22)<br>來源：王福堂.韶山方言同音字汇两种[J].方言, 2017(3):257-278.<br>轉錄者：跳跳老鼠', '33 1 1a 陰平 ꜀,113 2 1b 陽平 ꜁,42 3 2 上 ꜂,,55 5 3a 陰去 ꜄,21 6 3b 陽去 ꜅,24 7 4 入 ꜆')
㿭	tsʰwa7	皴
憶	i5	
忌	ɟi6-	
忌	ci5=	
忍	jən3	
忏	tsʰæ̃5	
忒	tʰjɛ7	太
志	tʂʅ5	
忘	waŋ2	
忙	maŋ2	
忠	tʂən1	
憂	jʊ1	
快	kʰwa5	
念	ɲĩ6-	
念	ɲĩ5=	
忽	ɸu7	
忿	xwən5	
懷	xwa2	
態	tʰa5	
慪	ɲjɔ5-	～气
慪	ŋəw5=	～气
怒	nəw6-	
怒	nəw5=	
怕	pʰɰa5	
怖	pu5	
怜	nĩ2-	
怜	njən2=	
思	sɿ1	
怠	dɛ6-	
怠	tɛ5=	
怡	i2	
急	ci7	
性	sjən5	
怨	wĩ5	
怪	kwa5	
怯	cʰjɛ7	
怱	tsʰən1	
總	tsən3	
戀	nĩ5	
恐	kʰən3	
恆	xən2	
恕	ʂʯ5	
恢	xwɛ1	
恤	si7	
恨	xən5	
恩	ɲĩ1-	
恩	ŋən1=	
恭	kən1	
息	si7	
恰	kʰa7	
懇	kʰən3	
恶	ʊ7	厌～；善～
惻	tsʰɛ7	
惱	nɔ3	
悄	tsʰjɔ3	
悉	si7	
悔	xwej5	
悟	u5	
悠	jʊ1	
患	xwĩ6-	
患	xwæ̃5=	
悅	wɛ7	
懸	ʂɻʷĩ2	
憫	mjən3	
悲	pɛ1	
情	dzjən2	
驚	cjən1	
惑	xwɛ7-	
惑	xʊ7=	
惜	si7	
惟	wej2	
惠	xwej5	
懼	dʐʯ6-	
懼	tʂʯ5=	
慘	tsʰæ̃3	
懲	dʐən2	
慚	dzæ̃2	
慣	kwĩ5-	
慣	kwæ̃5=	
惰	dʊ6	
想	sjaŋ3	
惹	ɲjæ̃3	
愁	dzjɔ2-	
愁	dzəw2=	
愈	ʯ6	
愉	ʯ2	
意	i5	
愚	ʯ2	
感	kæ̃3	
憤	xwən5	
愧	kʰwej5	
愼	ʂən6-	
愼	ʂən5=	
願	wĩ5	
慈	dzɿ2	
慌	xaŋ1	
慕	mʊ5	
慢	mæ̃6-	
慢	mæ̃5=	
慧	xwej5	
慨	kʰɛ5	
慰	wej5	
慷	kʰaŋ3	
憨	xæ̃1	
懂	tən3	
懊	ŋɔ5	～恼，～悔
懶	næ̃3	
懵	mən3	
懿	i5	
戈	kʊ1	
戊	u6-	
戊	u5=	
戌	si7	
戍	ʂʯ5	
戎	jən2	
戲	çi5	
成	ʂæ̃2-	姓
成	dʐən2=	
我	ŋʊ3	
戒	ka5	
戕	dzjaŋ2	
或	xwɛ7-	
或	xʊ7=	
戰	cĩ5	
戚	tsʰi7	
戟	ci7	
截	tsʰjɛ5	
戳	tsʰʊ7	
戴	ta5	
戶	ɸu6-	
戶	ɸu5=	
戽	ɸu5	
房	xaŋ2	
所	sʊ3	
扁	pĩ3	
扇	çĩ5	～子
手	ʂəw3	
才	dzɛ2	～能
扎	tsa7	～针；一～
扑	pʰʊ7	
打	ta3	
扔	jən2	
托	tʰʊ7	～付；～盘
扣	cʰjɔ5-	
扣	kʰəw5=	
執	tʂʅ7	
擴	kʰʊ7	
掃	sɔ3	～地
掃	sɔ5	～帚；～地，又
揚	jaŋ2	
扭	ɲjʊ3	
扮	pæ̃5	打～
扯	tʂʰɻʷa3-	
扯	tʂʰɛ3=	
擾	jɔ3	
扳	pæ̃1	
扶	ɸu2	
批	pʰi1	
扼	ŋɛ7	
找	tsɔ3	
承	dʐən2	
技	ci5	
抄	tsʰɔ1	
把	pɰa3	～握，～守，一～
抓	tʂɻʷa1	
投	djɔ2-	
投	dəw2=	
抖	tjɔ3-	
抖	təw3=	
抗	kʰaŋ5	
折	tʂɛ7	～叠；～断
撫	ɸu3	
抛	pʰɔ1	
摳	cʰjɔ1-	
摳	kʰəw1=	
搶	tsʰjaŋ3	
護	ɸu6-	
護	ɸu5=	
報	pɔ5	
披	pʰi1	
抬	dɛ2	
抱	bɔ6	
抵	ti3	
抹	mɰa7	
押	ja7	
抽	tʂʰəw1	
抿	mjən3	
拄	tʂʯ5	
擔	tæ̃1	～任
擔	tæ̃5=	挑～
拆	tsʰwa7-	
拆	tsʰɛ7=	
拇	mʊ3	
拈	ɲĩ1	～起来
拉	da1	
拌	bĩ6	
拍	pʰɰa7-	
拍	pʰɛ7=	
拐	kwa3	
拒	dʐʯ6-	
拒	tʂʯ5=	
拔	pʰɰa7	
拖	tʰʊ1	
拘	tʂʯ5	
拙	tʂɻʷɛ7	
招	tʂɔ1	
拜	pa5	
擬	ɲĩ3	
攏	nən3	
揀	kæ̃3-	
揀	cjæ̃3=	
擁	jən3	
攔	næ̃2	
撥	pʊ7	
擇	tsʰɛ7	
括	kwa7	包～
拱	kən3	
拳	dʐɻʷĩ2	
拼	pʰjən1	～合
拼	pʰjən5	～命
拾	ʂʅ5	
拿	nɛ1-	
拿	da1=	
持	dʐʅ2	
挂	kwa5	
指	tʂʅ3	～点
指	tʂʅ7	～甲子
按	ŋæ̃5	
挑	tʰjɔ1	
挖	wa7	
挾	ka7-	～菜
擋	taŋ3	
擠	tsi3	
揮	xwej1	
挨	ŋæ̃1	
挪	da1	
振	tʂən5	
挺	tʰjən3	
挽	wæ̃3	
捅	tʰən3	
捆	kʰwən3	
捉	tsʊ7	
捎	sɔ1	
捏	ɲjɛ7	
捐	tʂɻʷĩ1	
捕	pʰu3	
撈	nɔ1	
損	sən3	
撿	cĩ3	～拾
換	xwĩ6-	
換	xwĩ5=	
捧	pʰaŋ3-	
捧	pʰən3=	
捨	ʂɻʷa3-	～弃
捨	ʂɛ3=	～弃
据	tʂʯ5	
捷	tsʰjɛ5	
捺	na7	
捻	ɲĩ3	
掀	çĩ1	
掇	tʊ7	拾～
授	ʂəw6-	
授	ʂəw5=	
掉	tjɔ5	
掌	tʂaŋ3	
掏	dɔ2	
掐	kʰa7	
排	ba2	
掘	tʂɻʷɛ7	
掠	njʊ7	
探	tʰæ̃5	
接	tsjɛ7	
控	kʰən5	
推	tʰɛ1	
掩	ĩ3	
措	tsʰʊ5	
掬	cjʊ7	
揉	jʊ2	
描	mjɔ1	
提	dja2-	
提	di2=	
插	tsʰa7	
揖	i7	
握	u7-	
握	ʊ7=	
揩	kʰa1	
揪	tsjʊ1	一把～住
揭	cjɛ7	
援	wĩ2	
攬	næ̃3	
攙	tsʰæ̃1	
擱	kʊ7	
摟	njɔ3-	抱
摟	nəw3=	抱
攪	cjɔ3	
搉	kʰʊ7	敲
搓	tsʰʊ1	
搜	sɔ1-	
搜	sjɔ1-	
搜	səw1=	
搞	kɔ3	
搣	mjɛ7	
搧	çĩ1	
搨	tʰa7	～本
搬	bĩ2-	
搬	pĩ1=	
搭	ta7	
搽	dzwa2	
攝	ʂɛ7	
摆	pa3	
摇	jɔ2	
攤	tʰæ̃1	
摘	tsa7-	
摘	tswa7-	
摘	tsɛ7=	
摩	mʊ2	
摸	mʊ1	
摹	mʊ2	
撂	njɔ6	
撇	pʰjɛ7	
撑	tsʰaŋ1	～住
撕	sɿ1	
撞	tsʰaŋ3	
撤	tʂʰɛ7	
撩	njɔ1	～起
播	pʊ5	
撮	tswɛ7	一～
撮	tsʰwɛ7	～箕
擀	kæ̃3	～面
操	tsʰɔ1	～作
擎	ɟjən2	
擒	ɟjən2	
擘	pɛ7	～开
擤	sən3	～鼻涕
擦	tsʰa7	
攀	pʰæ̃1	
支	tʂʅ1	
收	ʂəw1	
改	kɛ3	
攻	kən1	
放	xaŋ5	
政	tʂən5	
故	ku5	
效	çjɔ5	
敵	ti7	
敏	mjən3	
救	cjʊ5	
教	kɔ5-	
教	cjɔ5=	
斂	nĩ3	
敝	pɛ5-	
敝	pi5=	
敢	kæ̃3	
散	sæ̃3	松～
散	sæ̃5	分～
敦	tən1	～厚
敦	tən5	竖
敬	cjən5	
數	səw3	～一～
數	səw5	～目
敲	kʰɔ1	
整	tʂən3	
敷	ɸu1	
文	wən2	
斋	tsa1	
斑	pæ̃1	
斗	tjɔ3-	升～
斗	təw3=	升～
料	njɔ6	
斛	ɸu5	
斜	dzja2	
斟	tʂən1	
斢	tʰjɔ3	换
斤	cjən1	
斥	tʂʰʅ3	
斧	ɸu3	
斬	tsæ̃3	
斷	dwĩ6-	～绝
斷	twĩ5	决～
斷	twĩ5=	～绝
斯	sɿ1	
新	sjən1	
方	xaŋ1	
於	ʯ2	
施	ʂʅ1	
旁	baŋ2	
旅	ni3	
旋	ʂɻʷĩ2	～转
旋	ʂɻʷĩ6	头发旋
族	tsʰəw5-	
旗	ɟi2	
无	u2	
旣	ci5	
日	i7-	
日	ʐʅ7=	
旦	tæ̃5	
舊	ɟjʊ6-	
舊	cjʊ5=	
旨	tʂʅ3	
早	tsɔ3	
旬	dzən2	
旭	çjʊ7	
旱	xwĩ6-	
旱	xæ̃6-	
旱	xæ̃5=	
時	ʂʅ2	
曠	kʰaŋ5	
旺	waŋ6-	
旺	waŋ5=	
昂	ŋɔ2	
昆	kʰwən1	
昌	tʂʰaŋ1	
明	mjæ̃2-	
明	mjən2=	
昏	xwən1	
易	i6	难～
易	i7	交～
昔	si7	
星	sjæ̃1-	
星	sjən1=	
映	jaŋ5-	～山红
映	jən5	
春	tʂʰɻʷən1	
昧	mɛ6-	
昧	mɛ5=	
昨	tsʊ7	
昭	tʂɔ1	
是	ʂʅ6-	
是	ʂʅ5=	
晝	tʂəw5	
顯	çĩ3	
晃	xaŋ3	
晉	tsjən5	
晏	ŋæ̃5	晚也
曉	çjɔ3	
暈	wən1	
晚	mæ̃3	～～：小叔叔
晚	wæ̃3	
晚	mæ̃5	～～：小姑妈
晦	xwej5	
晨	ʂən2	
普	pʰu3	
景	cjən3	
晴	dzjæ̃2-	
晴	dzjən2=	
晶	tsjən1	
智	tʂʅ5	
暫	dzæ̃6-	
暫	tsæ̃5=	
暑	ʂʯ3	
暖	nʊ3	
暗	wĩ5-	
暗	ŋæ̃5=	
暮	mʊ5	
暴	bɔ6-	
暴	pɔ5=	
曆	ni7	日～
曰	wɛ7	
曲	cʰjʊ7	～折；歌～
更	cĩ1-	～换；五～
更	cĩ5-	～加
更	kən1=	～换；五～
更	kən5=	～加
曹	dzɔ2	
曾	tsĩ1-	姓
曾	dzĩ2-	～经，～孙
曾	tsən1=	姓
曾	dzən2=	～经
替	tʰi5	
最	tsi5-	
最	tsɛ5=	
月	wɛ7	
有	jʊ3	
朋	bən2	
服	ɸu5-	
服	ɸu7=	
朗	naŋ3	
望	waŋ6-	
望	waŋ5=	
朝	tʂɔ1	今～
朝	dʐɔ2	～代
期	ɟi2	
木	mʊ7	
未	wej6	
末	mɛ7	
本	pən3	
札	tsa7	信～
朮	ʂʯ5	白～
术	ʂʯ5	算～
朱	tʂʯ1	
朴	pʰʊ7	～素，厚～
朵	təw3-	
朵	tʊ3=	
機	ci1	
朽	çjʊ3	
殺	sa7	
雜	tsa7	
權	dʐɻʷĩ2	
杆	kæ̃3	
杈	tsʰwa1-	枝～
杈	tsʰa1=	
杉	ʂɻʷa1	
李	ni3	
杏	çĩ6-	
杏	çjən6-	
杏	çjən5=	
材	dzɛ2	
村	tsʰən1	
杖	dʐaŋ6-	
杖	tʂaŋ5=	
杜	dəw6-	
杜	dʐəw6-	又
杜	təw5=	
杞	ci3	枸～
杞	cʰi3	～人忧天
束	tʂʰəw7	
杠	kaŋ5	
條	djɔ2	
來	nɛ2	
楊	jaŋ2	
杭	xaŋ2	
杯	pɛ1	
杰	cʰjɛ7	
杵	tʂʰʯ3	
松	dzən2-	～树
松	sən1=	～树
板	pæ̃3	
極	cʰi7	
構	cjɔ5-	
構	kəw5=	
枉	waŋ3	
析	si7	
枕	tʂən3	
林	njən2	
枚	mɛ2	
果	kʊ3	
枝	ci1-	～子
枝	tʂʅ1=	
樞	tʂʰʯ1	
棗	tsɔ3	
槍	tsʰjaŋ1	
楓	xwən1	
枯	kʰu1	
架	ka5-	
架	kwa5-	
架	cja5=	
柄	pjən3	
柏	pɛ7	
某	mjɔ3	
柑	kæ̃1	
染	ɲĩ3	
柔	jʊ2	
柚	jʊ5	
櫃	dʐʯ6-	大的
櫃	ɡwej6=	小的
查	dzwa2	调～
柩	cjʊ5	
柬	kæ̃3-	
柬	cjæ̃3=	
柱	dʐʯ6	
柳	njʊ3	
柴	dza2	
柿	ʂʅ6	
梔	tʂʅ1	
標	pjɔ1	
棧	dzæ̃6	
棟	tən5	
欄	næ̃2	
樹	ʂʯ6-	
樹	ʂʯ5=	
栖	tsʰi1	
栗	ni5	
校	cjɔ5	～对；学～，又
校	çjɔ5	学～；上～
株	tʂʯ1	
樣	jaŋ6-	
樣	jaŋ5=	
核	xwej5	桃～
核	xɛ7	审～
根	cĩ1	
格	kɛ7	
栽	tsɛ1	
桂	kwej5	
桃	dɔ2	
桅	wej2	～杆
案	ŋæ̃5	
桌	tsʊ7	
桐	dən2	
桑	saŋ1	
椏	ŋwa1-	～杈
椏	ja1=	
橋	ɟjɔ2	
樺	xwa2	
槳	tsjaŋ3	
樁	tsaŋ1	
桶	tʰən3	
梁	njaŋ2	
梅	mɛ2	
梓	tsɿ3	
梗	kaŋ3-	～子
梗	kən3=	～子
梢	sɔ1	树～
夢	mən6-	
夢	mən5=	
梧	u2	
梨	ni2	
梭	sʊ1	织布～
梯	tʰĩ1-	
梯	tʰi1=	
械	ka5	
梳	səw1	
檢	cĩ3	
棉	mĩ2	
棋	ɟi2	
棍	kwən5	
棒	baŋ6-	
棒	paŋ5=	
棕	tsən1	
棘	ci7	
棚	bən2	
棠	daŋ2	
森	sən1	
棵	kʰʊ3	
棺	kwĩ1	
椅	i3	
植	tʂʰʅ5	
椒	tsjɔ1	
椒	tsjʊ1	又
橢	tʰʊ3	～圆
椰	jɛ2	
椴	dwĩ6-	
椴	twĩ5=	
椿	tʂʰɻʷən1	
楚	tsʰəw3	
楝	nĩ6-	
楝	nĩ5=	
楠	næ̃2	
楣	mĩ2	
楦	ʂɻʷən5	鞋～
楷	kʰa3	
樓	njɔ1	
樓	nəw2=	
概	kʰɛ5	
欖	næ̃3	
榆	ʯ2	
榛	tsən1	
榜	paŋ3	
榨	tswa5	
榫	sən3	
榴	njʊ2	
榻	tʰa7	
槌	dʐʯ2-	
槌	dʐɻʷej2=	
槐	xwa2	
檳	pjən1	～榔
槽	dzɔ2	
樟	tʂaŋ1	
模	mʊ2	～子；～范
橫	xwən2	～直；蛮～
櫻	jən1	
樵	dzjɔ2	
橄	kæ̃3	
橘	tʂʯ7	
橡	dzjaŋ6-	
橡	tsjaŋ5=	
櫓	nəw3	
檀	dæ̃2	
檐	ĩ2	
檗	pɛ7	黄～
檁	njən3	
檯	dɛ2	写字～
欛	pɰa5	柄
欠	cʰĩ5	
次	tsʰɿ5	
歡	xwĩ1	
欣	çjən1	
歐	ɲjɔ1-	
歐	ŋəw1=	
欲	jəw7	想要；食～
欺	cʰi1	
款	kʰwĩ3	
款	kʰæ̃3	又
歇	çjɛ7	
歉	cʰĩ3	
歌	kʊ1	
止	tʂʅ3	
正	tʂən1	～月
正	tʂən5	公～
此	tsʰɿ3	
步	bu6-	
步	pu5=	
武	u3	
歪	wa1	
歷	ni7	～史
死	sɿ3	
殲	tsʰĩ1	～灭
殃	jaŋ1	
殉	dzən2	
殊	ʂʯ2	
殘	dzæ̃2	
殮	nĩ3	
殖	tʂʰʅ5	
殯	pjən5	
段	dwĩ6-	
段	twĩ5=	
殷	jən1	
殿	dĩ6-	
殿	tĩ5=	
毁	xwej3	
毅	ɲĩ5	
母	mʊ3	
每	mɛ3	
毑	tsi3	娭～：祖母
毒	təw7	
比	pi3	
畢	pi7	
斃	pɛ5-	
斃	pi5=	
毛	mɔ2	
毡	cĩ1	
毫	xɔ2	
毯	tʰæ̃3	
氏	ʂʅ6	
民	mjən2	
气	cʰi5	
水	ʂʯ3-	
水	ʂɻʷej3=	
永	wən3	
氹	daŋ6	水坑
汀	tjən1	
汁	tʂʅ7	
求	ɟjʊ2	
汇	xwɛ6-	
汇	xwɛ5=	
漢	xwĩ5-	
漢	xæ̃5=	
汗	xwĩ6-	
汗	xæ̃6-	
汗	xæ̃5=	
汝	ɛ3	
汞	kən3	
江	cjaŋ1	
池	dʐʅ2	
污	u1	
湯	tʰaŋ1	
汪	waŋ1	
汽	cʰi5	
沃	u7	
沈	ʂən3	
沉	dʐən2	
沙	swa1	
沛	pʰɛ5	
溝	cjɔ1-	
溝	kəw1=	
沒	mɛ7	沉～；～有
漚	ɲjɔ5-	～粪
漚	ŋəw5=	～粪
淪	nən2	
沫	mɛ7	
河	xʊ2	
油	jʊ2	
治	dʐʅ6	
治	tʂʅ5=	
沼	tʂɔ1	
沾	cĩ1	
沿	wĩ2	
泄	sjɛ7	
泅	tsʰjʊ1	打浮～
泅	dzjʊ2	～水
泉	dzĩ2	
泌	pi5	
泔	kæ̃1	
法	xwa7	
泛	xwæ̃5	
泡	bɔ6-	～子
泡	pʰɔ5	浸～
泡	pʰɔ5=	水～
波	pʊ1	
泥	ɲĩ2	
注	tʂʯ5	～意；～解
泪	ni6-	
泪	ni5=	
泪	nɛ5=	
泰	tʰa5	
泳	wən6-	
泳	wən5=	
瀉	sjɛ7	
潑	pʊ7	又
潑	pʰʊ7	
澤	tsʰɛ7	
潔	cjɛ7	
洋	jaŋ2	
洒	swa3-	
洒	sa3=	
洗	si3	
洛	nʊ7	
洞	dən6-	
洞	tən5=	
津	tsjən1	
洪	xən2	
洲	tʂəw1	
活	xwɛ5-	
活	xʊ5=	
洽	çja7	
派	pʰa5	
流	njʊ2	
淺	tsʰĩ3	
漿	tsjaŋ1	
澆	cjɔ1	
濁	tsʰʊ5	
測	tsʰɛ7	
濟	tsi5	
渾	xwən1	～浊
滸	ɸu3	
濃	nən2	
浙	tʂɛ7	
浜	paŋ1	河～
浦	pʰu3	
浩	xɔ5	
浪	naŋ6-	
浪	naŋ3=	
浮	bɔ2-	
浮	xɔ2-	
浮	xəw2=	
浴	jəw7	
海	xɛ3	
浸	tsʰjən5	
涂	dəw2	
消	sjɔ1	
涉	ʂɛ7	
涌	jən3	
涓	tʂɻʷĩ1	
涕	tʰi5	
濤	dɔ2	
潤	wən6-	
潤	wən5=	
漲	tʂaŋ3	
澀	sɛ7	
涿	tsʊ7	～鹿
淋	njən2	
淑	ʂəw7	
淘	dɔ2	
淡	dæ̃6-	
淡	tæ̃5=	
淤	ʯ2	
淫	jən2	
淮	xwa2	
深	ʂən1	
混	xwən6-	相～
混	xwən5=	相～
淹	ŋæ̃1-	
淹	ĩ3	又
淹	ĩ1=	
添	tʰĩ1	
清	tsʰjæ̃1-	
清	tsʰjən1=	
淵	wĩ1	
漸	dzæ̃6	
漁	ʯ2	
渠	dʐʯ2	
渡	dəw6-	
渡	təw5=	
渣	tswa1	
溫	wən1	
港	kaŋ3	
渴	kʰʊ7	
游	jʊ2	
渺	mjɔ3	
湖	ɸu2	
湘	sjaŋ1	
灣	wæ̃1	
溼	ʂʅ7	
潰	kʰwej5	
溉	kʰɛ5	
源	wĩ2	
溜	njʊ2	
溪	çi1	
溺	ɲĩ7	
溻	tʰa7	～湿了
滋	tsɿ1	
滑	wa5	
滔	tʰɔ1	
滾	kwən3	
滿	mĩ3	
濾	nɛ5	
濫	næ̃5	
灘	tʰæ̃1	
滴	tja7-	
滴	ti7=	
漂	pʰjɔ1	～流
漂	pʰjɔ3	～洗
漂	pʰjɔ5	～亮
漆	tsʰi7	
漏	njɔ6-	
漏	nəw6=	
演	ĩ3	
漫	mæ̃6-	
漫	mæ̃5=	
漱	səw5	～口
潘	pʰĩ1	
潛	dzĩ2	
潭	dæ̃2	
潮	dʐɔ2	
潲	sɔ5	猪～
澡	tsɔ3	
激	ci7	
灌	kwĩ5	
灒	tsæ̃5	溅
火	xʊ3	
滅	mjɛ7	
燈	tĩ1-	
燈	tən1=	
灰	xwɛ1	
靈	njən2	
竈	tsɔ5	
灸	cjʊ3	
災	tsɛ1	
燦	tsʰæ̃5	
爐	nəw2	
炊	tʂʰɻʷej1	
炎	ĩ2	
炒	tsʰɔ3	
炕	kʰaŋ5	
炭	tʰæ̃5	
炮	pʰɔ5	枪～
炸	tswa5	～弹；油～
點	tĩ3	
炼	nĩ6-	
炼	nĩ5=	
爛	næ̃6-	
爛	næ̃5=	
烈	njɛ7	
烊	jaŋ2	融化
烘	xən1	
烙	nʊ5	～铁
燭	tʂəw7	
烟	ĩ1	
烤	kʰɔ3	
煩	xwæ̃2	
燒	ʂɔ1	
燙	tʰaŋ5	
熱	jɛ7	
烹	pʰən1	
焉	ĩ1	心不在～
焊	xwĩ6-	
焊	xæ̃6-	
焊	xæ̃5=	
煥	xwĩ5	
焙	bɛ6	
焚	xwən2	
焦	tsjɔ1	
焰	ĩ6-	
焰	ĩ5=	
然	ĩ2	
煎	tsĩ1	
煎	tsĩ5	又
煑	tʂʯ3	
煞	sa7	
煤	mɛ2	
照	tʂɔ5	
煨	wɛ1	
熄	si7	
熊	çjən2	
熏	ʂɻʷən1	
熙	çi1	
熟	ʂəw5=	
熨	wən5	
熬	ŋɔ1	～白菜
熬	ŋɔ2	～药
燃	ɲĩ2-	
燃	ĩ2=	
燎	njɔ1	
燕	ĩ5	～子
爆	pɔ5	
爪	tsɔ3	
爬	bɰa2	
愛	ŋɛ5	
爵	tsjʊ7	
父	ɸu6	
爺	ja2-	
爺	jɛ2=	
爸	pɰa1	
爹	tja1-	
爹	ti1=	
爽	saŋ3	
片	pʰĩ5	
版	pæ̃3	
牌	ba2	
牘	təw7	
牒	tʰjɛ5	
牙	ŋwa2-	
牙	ja2=	
牚	tsʰaŋ6	椅子～儿
牛	ɲjʊ2	
牡	mjɔ3	
牢	nɔ2	
牧	mʊ7	
物	u7	
牯	ku3	
牲	sĩ1-	
牲	sən1=	
牽	cʰĩ1	
牸	dzɿ6	
牸	sɿ6	又
特	tʰɛ7	
犧	çi1	
犀	si1	
犁	ni2	
犢	təw7	
犟	ɟjaŋ6	
犬	tʂʰɻʷĩ3	
犯	xwæ̃6	
狀	dzaŋ6-	
狀	tsaŋ5=	
犹	jʊ2	
狂	ɡaŋ2	
狂	ɡwaŋ2	又
狄	tʰi5	
狐	ɸu2	
狗	cjɔ3-	
狗	kəw3=	
狡	cjɔ3	
獨	təw7	
狹	xa5-	
狹	çja7=	
獅	sɿ1	
獄	jəw7	
狸	ni3	
狼	naŋ2	
獵	njɛ7	
猛	mən3	
猜	tsʰa1	
猝	tsʰəw7	仓～
豬	tʂʯ1	
貓	mjɔ1-	
貓	mɔ1=	
獻	çĩ5	
猴	xɔ2-	
猴	çjɔ2-	
猴	xəw2=	
猾	wa5	
獃	tɛ1	
獺	tʰa7	
玄	ʂɻʷĩ2	
率	ni7	速～
率	sʊ7	～领
玉	ʯ5	
王	waŋ2	
玩	wæ̃2	游～；古～
環	xwæ̃2	
現	çĩ6-	
現	çĩ5=	
玻	pʊ1	
珊	sæ̃1	
珍	tʂən1	
珠	tʂʯ1	
班	pæ̃1	
球	ɟjʊ2	
理	ni3	
琉	njʊ2	
瑣	sʊ3	
琢	tsʊ7	
琴	ɟjən2	
瓊	dʐɻʷən2	
瑞	ʂɻʷej6-	
瑞	ʂɻʷej5=	
瑟	sɛ7	
璃	ni2	
璧	pi7	
瓜	kwa1	
瓠	ɸu6	～瓜
瓢	bjɔ2	
瓣	bæ̃6	
瓤	jaŋ2	瓜～子
瓦	wa3	
瓮	wən5	
瓶	bjən2	
瓷	dzɿ2	
甘	kæ̃1	
甚	ʂən6-	
甚	ʂən5=	
甜	dĩ2	
生	sĩ1-	
生	saŋ1-	不熟
生	sən1=	
甥	sĩ1-	
甥	sən1=	
用	jən6-	
用	jən5=	
甫	pʰu3	
甬	jən3	～道
田	dĩ2	
由	jʊ2	
甲	ka7-	
甲	cja7=	
申	ʂən1	
電	dĩ6-	
電	tĩ5=	
男	næ̃2	
畫	xwa6	
暢	tʂʰaŋ5	
界	ka5	
畏	wej5	
留	njʊ2	
畜	tʂʰəw7	～牲；～牧
略	njʊ7	
番	xwæ̃1	轮～
疆	cjaŋ1	
疏	səw1	
疑	ɲĩ2	
疔	tjən1	
療	njɔ1	
瘧	ɲjʊ7	
瘍	jaŋ2	溃～
疤	pɰa1	
疥	ka5	
疫	ʯ5	
瘡	tsʰaŋ1	
瘋	xwən1	
疲	bi2	
疵	dzɿ2	
疹	tʂən1	
疼	dĩ2	
疾	tsʰi7	
疿	xwej5	
痂	ka1-	
痂	kwa1-	
痂	cja1=	
病	bjæ̃6-	
病	bjən6=	
症	tʂən5	
痊	dzĩ2	
痒	jaŋ3	
痔	dʐʅ6	
痕	xən2	
痛	tʰən5	
痞	pʰi3	
痢	ni6-	
痢	ni5=	
痣	tʂʅ5	
痧	swa1	
癆	nɔ2	～病
癆	nɔ6	毒：～鱼
痰	dæ̃2	
痲	mɰa2	
癡	tʂʰʅ1	
痹	pi5	
瘟	wən1	
瘦	sjɔ5	
癱	tʰæ̃1	
瘴	tʂaŋ5	
癩	na6-	
癩	na5=	
癬	sĩ3	
癲	tĩ1	
癸	kwej5	
登	tən1	
發	xwa7	出～
白	pɛ7	
百	pɛ7	
皂	dzɔ6	
的	ti7	
皆	ka1	
皇	xaŋ2	
皮	bi2	
皺	tsjɔ5-	
皺	tsəw5=	
皴	tsʰən1	脸～
盂	ʯ2	
盅	tʂən1	
盆	bən2	
盈	jən2	
益	i7	
盞	tsæ̃3	
鹽	ĩ2	
監	kæ̃5	～察，～牢；国子～
盒	xwɛ5-	
盒	xʊ5=	
盔	kʰwɛ1	
盖	kɛ5	
盜	dɔ6-	
盜	tɔ5=	
盤	bĩ2	
盛	ʂən6-	兴～
盛	dʐən2	～饭
盛	ʂən5=	兴～
盟	mjən2	
目	mʊ7	
盲	maŋ2	
直	tʂʰʅ5	
相	sjaŋ1	互～
相	sjaŋ5	～貌
盼	pʰæ̃5	
盾	ʂɻʷən3	矛～，又
盾	tən5	
省	sĩ3-	～长；节～；反～
省	sən3=	～长；节～；反～
眉	mĩ2	
看	kʰwĩ5-	～守；～见
看	kʰæ̃5=	～守；～见
眞	tʂən1	
眠	mĩ2	
眨	tsa7	
眶	cʰjaŋ1	眼～
眷	tʂɻʷĩ5	
眼	ŋæ̃3-	
眼	ɲjæ̃3=	
着	tʂʊ7	～衣；睡～
睜	tsĩ1-	
睜	tsən1=	
睛	tsjən1	
睡	ʂɻʷej5	
督	təw7	
睬	tsʰɛ3	
瞎	xa7	
瞒	mĩ2	
瞧	dzjɔ2	
瞭	njɔ3	
瞳	dən2	
瞿	dʐʯ2	
矛	mjɔ3-	～子
矛	mɔ2=	～盾
矢	ʂʅ3	
矣	i3	
知	tʂʅ1	
矩	tʂʯ3	
短	twĩ3	
矮	ŋæ̃3	
石	ʂɻʷa5-	
石	ʂʅ7=	
礬	xwæ̃2	
礦	kʰaŋ5	
碼	mɰa3	
砂	swa1	
砌	tsʰi5	
砍	kʰæ̃3	
研	ɲĩ1	
磚	tʂɻʷĩ1	
硯	ɲĩ6	
破	pʰʊ5	
礎	tsʰəw3	
硃	tʂʯ1	
硝	sjɔ1	
硫	njʊ2	
硬	ɲĩ6-	
硬	ŋən6=	
确	kʰʊ7	
礙	ŋɛ6-	
礙	ŋɛ5=	
碎	sɛ5	
碑	pɛ1	
碓	tɛ5	
碗	wĩ3-	
碗	wæ̃3=	
碟	tʰjɛ5	
碧	pi7	
鹼	kæ̃3	
碾	ɲĩ3	
